year,month,day,area,region
1902,April,19,Quezaltenango and San Marco,Guatemala
1902,December,16,Uzbekistan,Russia
1903,April,28,Malazgirt,Turkey
1903,May,28,Gole,Turkey
1905,April,4,Kangra,India
1906,January,31,Esmeraldas (off coast),Ecuador
1906,March,16,Chia-i,Taiwan
1906,April,18,San Francisco,United States
1906,August,17,Valparaiso,Chile
1907,October,21,Central,Asia
1908,December,28,Messina,Italy
1909,January,23,Silakhor,Iran
1912,August,9,Murefte,Turkey
1914,October,3,Burdur,Turkey
1915,January,13,Avezzano,Italy
1917,July,30,Yunnan,China
1918,February,13,Guangdong,China
1920,December,16,Gansu,China
1923,March,24,Sichuan,China
1923,March,25,Torbat-e Heydariyeh,Iran
1923,September,1,Yokohama,Japan
1925,March,16,Yunnan,China
1927,March,7,Tango,Japan
1927,May,22,Gansu,China
1929,May,1,Koppeh Dagh,Iran
1930,May,6,Salmas,Iran
1930,July,23,Irpinia,Italy
1931,March,31,Managua,Nicaragua
1931,April,27,Border,Armenia-Azerbaijan
1931,August,10,Xinjiang,China
1933,March,2,Sanriku,Japan
1933,March,10,Long Beach,United States
1933,August,25,Sichuan,China
1934,January,15,Bihar,India-Nepal
1935,April,21,Miao-Li,Taiwan
1935,May,30,Quetta,Pakistan
1939,January,25,Chillan,Chile
1939,December,26,Erzincan,Turkey
1940,November,10,Vrancea,Romania
1942,December,20,Erbaa,Turkey
1943,September,10,Tottori,Japan
1943,November,26,Ladik,Turkey
1944,January,15,San Juan,Argentina
1944,February,1,Gerede,Turkey
1945,January,12,Mikawa,Japan
1945,November,27,Makran Coast,Pakistan
1946,May,31,Ustukran,Turkey
1946,November,10,Ancash,Peru
1946,December,29,Honshu,Japan
1948,June,28,Fukui,Japan
1948,October,5,Ashgabat,Turkmenistan
1949,July,10,Khait,Tajikistan
1949,August,5,Pelileo,Ecuador
1950,August,15,Assam,India
1951,August,2,Cosiguina,Nicaragua
1953,March,18,Northwest,Turkey
1954,September,9,Orleansville,Algeria
1956,June,10,North,Afghanistan
1957,July,2,North,Iran
1957,December,13,West,Iran
1960,February,29,Agadir,Morocco
1960,May,21,South,Chile
1962,September,1,Northwest,Iran
1963,July,26,Skopje,Yugoslavia
1964,March,27,Alaska,United States
1966,March,7,Hebei,China
1966,March,22,Hebei,Chine
1966,August,19,East,Turkey
1968,August,31,Northeast,Iran
1969,July,25,Guangdong,China
1970,January,5,Yunnan,China
1970,March,28,West,Turkey
1970,May,31,Chimbote,Peru
1971,February,9,San Fernando Valley,United States
1971,May,22,SE of Ankara,Turkey
1972,April,10,South,Iran
1972,December,23,Managua,Nicaragua
1974,May,10,NA,China
1974,December,28,North,Pakistan
1975,February,4,Haicheng,China
1975,September,6,East,Turkey
1976,February,4,NA,Guatemala
1976,May,6,Northeast,Italy
1976,June,25,Irian Jaya,New Guinea
1976,July,28,Tangshan,China
1976,August,16,Mindanao,Philippines
1976,November,24,Northwest Border,Iran-Turkey
1977,March,4,NA,Romania
1978,September,16,Northeast,Iran
1980,October,10,Northwest,Algeria
1980,November,23,South,Italy
1981,June,11,South,Iran
1981,July,28,South,Iran
1982,December,13,W Arabian Peninsula,NA
1983,October,30,East,Turkey
1985,September,19,Michoacan,Mexico
1986,October,10,NA,El Salvador
1987,March,6,Border,Colombia-Ecuador
1988,August,20,Border,India-Nepal
1988,December,7,Spitak,Armenia
1989,October,17,San Francisco,United States
1990,June,20,West,Iran
1990,July,16,Luzon,Philippines
1991,February,1,Border,Pakistan-Afghanistan
1991,October,19,North,India
1992,March,13,East,Turkey
1992,March,15,East,Turkey
1992,June,28,Landers,United States
1992,June,28,Big Bear,United States
1992,December,12,Flores Island,Indonesia
1993,September,30,Maharashtra,India
1994,January,17,Northridge,United States
1994,June,6,Cauca,Colombia
1995,January,16,Kobe,Japan
1995,May,27,Sakhalin Island,Russia
1997,February,28,Northwest,Iran
1997,May,10,North,Iran
1998,February,4,Hindu Kush,Afghanistan
1998,May,30,Border,Afghanistan-Tajikistan
1998,July,17,Papua,New Guinea
1999,January,25,Armenia,Colombia
1999,August,17,Izmit,Turkey
1999,September,20,Taichung,Taiwan